mode,tag,seed,train_datasets,test_dataset,n_train,n_test,attn_proxy_text,attn_proxy_egemap,attn_proxy_deep,accuracy,f1_weighted,f1_macro,auc_roc,brier_score,mcc,sensitivity,specificity,precision_dem,precision_ctrl
fusion_attn,P->T,44,['pitt'],taukadial,495,102,0.5609732270240784,0.2198944687843322,0.2191323488950729,0.5686274509803921,0.5686274509803921,0.5603448275862069,0.6167711598746082,0.3866032361984253,0.1206896551724138,0.6206896551724138,0.5,0.6206896551724138,0.5
linguistic,A->P,42,['adress'],pitt,138,495,,,,0.705050505050505,0.6976796955057825,0.7010869565217391,0.8101754154576629,0.2412164509296417,0.4711603978829111,0.5367647058823529,0.9103139013452914,0.8795180722891566,0.6170212765957447
linguistic,A->P,43,['adress'],pitt,138,495,,,,0.7191919191919192,0.7191919191919192,0.7191919191919192,0.8066555658137694,0.1911658644676208,0.4526180427327881,0.6544117647058824,0.7982062780269058,0.7982062780269058,0.6544117647058824
linguistic,A->P,44,['adress'],pitt,138,495,,,,0.7191919191919192,0.7159424680356,0.7178608187182463,0.8039435505143762,0.2379791289567947,0.4775934825493632,0.5919117647058824,0.874439461883408,0.8518518518518519,0.6372549019607843
acoustic_egemaps,A->P,42,['adress'],pitt,138,495,,,,0.4808080808080808,0.4378950253760785,0.450638902443764,0.5050283566341335,0.2560729384422302,0.0217410300047597,0.2242647058823529,0.7937219730941704,0.5700934579439252,0.4561855670103092
acoustic_egemaps,A->P,43,['adress'],pitt,138,495,,,,0.4686868686868687,0.4519307984548626,0.4590703414232826,0.5028439066209442,0.2724692821502685,-0.0285365711625867,0.3051470588235294,0.6681614349775785,0.5286624203821656,0.4408284023668639
acoustic_egemaps,A->P,44,['adress'],pitt,138,495,,,,0.4666666666666667,0.3941872465020279,0.4119447044423645,0.5066440253231338,0.2635950446128845,0.0050255134044054,0.1470588235294117,0.8565022421524664,0.5555555555555556,0.4515366430260047
acoustic_w2v,A->P,42,['adress'],pitt,138,495,,,,0.4707070707070707,0.3407273532889297,0.3662033779028853,0.6325425349512002,0.2682928740978241,0.0770595659852361,0.0588235294117647,0.9730941704035876,0.7272727272727273,0.4587737843551797
acoustic_w2v,A->P,43,['adress'],pitt,138,495,,,,0.4747474747474747,0.3618642566010986,0.3851049191606467,0.657494724347138,0.3270435333251953,0.0693070984451972,0.0845588235294117,0.9506726457399104,0.6764705882352942,0.4598698481561822
acoustic_w2v,A->P,44,['adress'],pitt,138,495,,,,0.4606060606060606,0.3237428932929132,0.3502499889385426,0.6052327881825377,0.2786896824836731,0.0329609818399136,0.0441176470588235,0.968609865470852,0.631578947368421,0.453781512605042
